Time; X-axis; Y-axis; Z-axis; On_brd_TEMP; TEMP1; TEMP2; TEMP3; 40khz;R_Water;Pressure; Sleep_cnt 
0,000000;-1,900000;86,202187;86,204292;26,000000;-275,000000;92,000000;22,000000;0,000000;0,000014;0,169143;0,000000 
0,500000;-1,840000;87,246246;87,247681;26,000000;-275,000000;92,000000;22,000000;-106,274864;0,000014;0,169143;0,000000 
1,000000;-2,810000;87,200890;87,204285;26,000000;-275,000000;92,000000;22,000000;-106,274864;0,000014;0,169143;0,000000 
1,500000;-1,840000;87,246246;87,247681;26,000000;-275,000000;92,000000;22,000000;-108,181068;0,000014;0,169143;0,000000 
2,000000;-2,760000;86,324898;86,329201;26,000000;-275,000000;92,000000;22,000000;0,000000;0,000014;0,169143;0,000000 
2,500000;-2,760000;87,246246;87,249474;26,000000;-275,000000;92,000000;22,000000;-110,288277;0,000014;0,169143;0,000000 
3,000000;-1,840000;87,246246;87,247681;26,000000;-275,000000;92,000000;22,000000;0,000000;0,000014;0,190286;0,000000 
3,500000;-2,810000;86,264542;86,269066;26,000000;-275,000000;92,000000;22,000000;0,000000;0,000014;0,169143;0,000000 
4,000000;-1,840000;87,246246;87,247681;26,000000;-275,000000;92,000000;22,000000;-106,274864;0,000014;0,169143;0,000000 
4,500000;-1,840000;87,246246;87,247681;26,000000;-275,000000;92,000000;22,000000;0,000000;0,000014;0,169143;0,000000 
5,000000;-2,810000;88,138748;88,141014;26,000000;-275,000000;92,000000;22,000000;-108,181068;0,000014;0,169143;0,000000 
5,500000;-1,870000;87,200890;87,202400;26,000000;-275,000000;92,000000;22,000000;0,000000;0,000014;0,169143;0,000000 
6,000000;-1,870000;87,200890;87,202400;26,000000;-275,000000;92,000000;22,000000;0,000000;0,000014;0,169143;0,000000 
6,500000;-2,760000;87,246246;87,249474;26,000000;-275,000000;92,000000;22,000000;-106,274864;0,000014;0,169143;0,000000 
7,000000;-2,810000;87,200890;87,204285;26,000000;-275,000000;92,000000;22,000000;-108,181068;0,000014;0,169143;0,000000 
7,500000;-1,840000;87,246246;87,247681;26,000000;-275,000000;92,000000;22,000000;-106,274864;0,000014;0,169143;0,000000 
8,000000;-1,840000;87,246246;87,247681;26,000000;-275,000000;92,000000;22,000000;-108,181068;0,000014;0,169143;0,000000 
8,500000;-1,870000;87,200890;87,202400;26,000000;-275,000000;92,000000;22,000000;0,000000;0,000014;0,148000;0,000000 
9,000000;-1,870000;87,200890;87,202400;26,000000;-275,000000;92,000000;22,000000;0,000000;0,000014;0,169143;0,000000 
9,500000;-2,760000;87,246246;87,249474;26,000000;-275,000000;92,000000;22,000000;-108,181068;0,000014;0,169143;0,000000 
10,000000;-1,870000;87,200890;87,202400;26,000000;-275,000000;92,000000;22,000000;0,000000;0,000014;0,211429;0,000000 
10,500000;-1,840000;86,324898;86,326813;26,000000;-275,000000;92,000000;22,000000;0,000000;0,000014;0,169143;0,000000 
11,000000;-2,810000;87,200890;87,204285;26,000000;-275,000000;92,000000;22,000000;-106,274864;0,000014;0,169143;0,000000 
11,500000;-1,840000;86,324898;86,326813;26,000000;-275,000000;92,000000;22,000000;0,000000;0,000014;0,126857;0,000000 
12,000000;-2,810000;87,200890;87,204285;26,000000;-275,000000;92,000000;22,000000;-104,534637;0,000014;0,169143;0,000000 
