Time; X-axis; Y-axis; Z-axis; On_brd_TEMP; TEMP1; TEMP2; TEMP3; 40khz;R_Water;Pressure; Sleep_cnt 
0,000000;0,920000;88,169022;88,169258;26,000000;537,000000;92,000000;22,000000;0,000000;0,488650;0,211429;0,000000 
0,500000;0,000000;88,138748;88,138748;26,000000;688,000000;92,000000;22,000000;0,000000;0,488650;0,211429;0,000000 
1,000000;0,000000;87,246246;87,246246;26,000000;537,000000;92,000000;22,000000;-104,534637;0,488650;0,190286;0,000000 
1,500000;0,000000;87,200890;87,200890;26,000000;537,000000;92,000000;22,000000;-104,534637;0,488650;0,211429;0,000000 
2,000000;0,000000;88,169022;88,169022;26,000000;537,000000;92,000000;22,000000;0,000000;0,977763;0,211429;0,000000 
2,500000;0,000000;88,169022;88,169022;26,000000;537,000000;92,000000;22,000000;-104,534637;0,488650;0,211429;0,000000 
3,000000;0,000000;88,169022;88,169022;26,000000;537,000000;92,000000;22,000000;0,000000;0,488650;0,190286;0,000000 
3,500000;0,000000;87,200890;87,200890;26,000000;537,000000;92,000000;22,000000;-102,933784;0,488650;0,211429;0,000000 
4,000000;0,000000;87,246246;87,246246;26,000000;688,000000;92,000000;22,000000;-104,534637;0,244273;0,211429;0,000000 
4,500000;0,000000;88,138748;88,138748;26,000000;688,000000;92,000000;22,000000;-104,534637;0,488650;0,211429;0,000000 
5,000000;0,000000;88,169022;88,169022;26,000000;537,000000;92,000000;22,000000;-104,534637;0,488650;0,211429;0,000000 
5,500000;0,000000;89,092758;89,092758;26,000000;537,000000;92,000000;22,000000;0,000000;0,977763;0,211429;0,000000 
6,000000;0,000000;87,200890;87,200890;26,000000;688,000000;92,000000;22,000000;-106,274864;0,488650;0,190286;0,000000 
6,500000;0,000000;87,200890;87,200890;26,000000;688,000000;92,000000;22,000000;-104,534637;0,977763;0,211429;0,000000 
7,000000;0,000000;88,169022;88,169022;26,000000;688,000000;92,000000;22,000000;-104,534637;0,488650;0,253715;0,000000 
7,500000;0,000000;87,246246;87,246246;26,000000;537,000000;92,000000;22,000000;-104,534637;0,488650;0,211429;0,000000 
8,000000;0,000000;88,169022;88,169022;26,000000;537,000000;92,000000;22,000000;-104,534637;0,977763;0,190286;0,000000 
8,500000;0,000000;88,169022;88,169022;26,000000;537,000000;92,000000;22,000000;-102,933784;0,488650;0,211429;0,000000 
9,000000;0,920000;87,246246;87,246597;26,000000;537,000000;92,000000;22,000000;0,000000;0,488650;0,211429;0,000000 
9,500000;0,000000;88,169022;88,169022;26,000000;688,000000;92,000000;22,000000;-102,933784;0,488650;0,169143;0,000000 
10,000000;0,000000;88,169022;88,169022;26,000000;688,000000;92,000000;22,000000;0,000000;0,488650;0,211429;0,000000 
10,500000;0,000000;88,138748;88,138748;26,000000;-275,000000;92,000000;22,000000;-102,933784;0,000014;0,190286;0,000000 
11,000000;0,000000;88,169022;88,169022;26,000000;688,000000;92,000000;22,000000;-104,534637;0,000014;0,190286;0,000000 
11,500000;0,000000;87,200890;87,200890;26,000000;-275,000000;92,000000;22,000000;0,000000;0,000014;0,211429;0,000000 
12,000000;0,000000;88,138748;88,138748;26,000000;688,000000;92,000000;22,000000;0,000000;0,000014;0,169143;0,000000 
12,500000;0,000000;88,169022;88,169022;26,000000;688,000000;92,000000;22,000000;-106,274864;0,000014;0,190286;0,000000 
13,000000;0,000000;88,169022;88,169022;26,000000;-275,000000;92,000000;22,000000;0,000000;0,000014;0,190286;0,000000 
13,500000;0,000000;87,246246;87,246246;26,000000;688,000000;92,000000;22,000000;-104,534637;0,000014;0,190286;0,000000 
14,000000;0,000000;88,169022;88,169022;26,000000;688,000000;92,000000;22,000000;0,000000;0,000014;0,190286;0,000000 
14,500000;0,000000;88,169022;88,169022;26,000000;688,000000;92,000000;22,000000;-104,534637;0,000014;0,190286;0,000000 
15,000000;1,940000;88,075127;88,076241;26,000000;688,000000;92,000000;22,000000;-104,534637;0,000014;0,169143;0,000000 
15,500000;4,360000;82,999161;83,019623;26,000000;537,000000;92,000000;22,000000;-104,534637;0,000014;0,190286;0,000000 
16,000000;0,000000;89,061958;89,061958;26,000000;688,000000;92,000000;22,000000;-106,274864;0,000014;0,169143;0,000000 
16,500000;2,860000;91,926491;91,924110;26,000000;-275,000000;92,000000;22,000000;-106,274864;0,000014;0,169143;0,000000 
17,000000;0,000000;88,138748;88,138748;26,000000;-275,000000;92,000000;22,000000;-106,274864;0,000014;0,169143;0,000000 
17,500000;0,000000;89,107430;89,107430;26,000000;-275,000000;92,000000;22,000000;0,000000;0,000014;0,190286;0,000000 
18,000000;0,000000;88,169022;88,169022;26,000000;688,000000;92,000000;22,000000;-108,181068;0,000014;0,169143;0,000000 
