Time; X-axis; Y-axis; Z-axis; On_brd_TEMP; TEMP1; TEMP2; TEMP3; 40khz;R_Water;Pressure; Sleep_cnt 
0,000000;-3,740000;87,200890;87,206917;26,000000;-275,000000;92,000000;22,000000;0,000000;0,000014;0,169143;0,000000 
0,500000;-3,570000;89,121635;89,123383;26,000000;-275,000000;92,000000;22,000000;-106,274864;0,000014;0,169143;0,000000 
1,000000;-2,760000;86,324898;86,329201;26,000000;-275,000000;92,000000;22,000000;0,000000;0,000014;0,169143;0,000000 
1,500000;-1,870000;85,330200;85,332703;26,000000;-275,000000;92,000000;22,000000;-106,274864;0,000014;0,169143;0,000000 
2,000000;-2,760000;85,405464;85,410828;26,000000;-275,000000;92,000000;22,000000;0,000000;0,000014;0,169143;0,000000 
2,500000;-2,810000;86,264542;86,269066;26,000000;-275,000000;92,000000;22,000000;0,000000;0,000014;0,169143;0,000000 
3,000000;-3,740000;86,264542;86,272560;26,000000;-275,000000;92,000000;22,000000;-108,181068;0,000014;0,169143;0,000000 
3,500000;-2,810000;87,200890;87,204285;26,000000;-275,000000;92,000000;22,000000;-106,274864;0,000014;0,169143;0,000000 
4,000000;-2,810000;86,264542;86,269066;27,000000;-275,000000;92,000000;22,000000;0,000000;0,000014;0,148000;0,000000 
4,500000;-2,760000;86,324898;86,329201;27,000000;-275,000000;92,000000;22,000000;0,000000;0,000014;0,169143;0,000000 
5,000000;-2,810000;86,264542;86,269066;27,000000;-275,000000;92,000000;22,000000;0,000000;0,000014;0,169143;0,000000 
5,500000;-2,810000;86,264542;86,269066;27,000000;-275,000000;92,000000;22,000000;0,000000;0,000014;0,169143;0,000000 
6,000000;-3,740000;86,264542;86,272560;28,000000;-275,000000;92,000000;22,000000;0,000000;0,000014;0,169143;0,000000 
6,500000;-2,810000;86,264542;86,269066;30,000000;-275,000000;91,000000;22,000000;0,000000;0,000014;0,169143;0,000000 
7,000000;-2,810000;86,264542;86,269066;30,000000;-275,000000;92,000000;22,000000;0,000000;0,000014;0,169143;0,000000 
7,500000;-2,760000;87,246246;87,249474;30,000000;-275,000000;91,000000;22,000000;-108,181068;0,000014;0,190286;0,000000 
8,000000;-2,810000;86,264542;86,269066;31,000000;-275,000000;91,000000;22,000000;0,000000;0,000014;0,190286;0,000000 
8,500000;-2,760000;87,246246;87,249474;33,000000;-275,000000;91,000000;22,000000;0,000000;0,000014;0,169143;0,000000 
9,000000;-2,800000;85,330200;85,335831;36,000000;-275,000000;91,000000;22,000000;-106,274864;0,000014;0,169143;0,000000 
9,500000;-2,720000;88,198334;88,200394;38,000000;-275,000000;91,000000;22,000000;-106,274864;0,000014;0,169143;0,000000 
10,000000;-2,800000;85,330200;85,335831;48,000000;-275,000000;91,000000;22,000000;0,000000;0,000014;0,169143;1,000000 
10,500000;-2,760000;87,246246;87,249474;36,000000;-275,000000;90,000000;22,000000;0,000000;0,000014;0,211429;2,000000 
11,000000;-2,810000;86,264542;86,269066;35,000000;-275,000000;90,000000;22,000000;0,000000;0,000014;0,169143;2,000000 
11,500000;-3,740000;87,200890;87,206917;34,000000;-275,000000;90,000000;22,000000;0,000000;0,000014;0,169143;2,000000 
12,000000;-2,810000;87,200890;87,204285;33,000000;-275,000000;90,000000;22,000000;0,000000;0,000014;0,169143;2,000000 
12,500000;-2,810000;86,264542;86,269066;33,000000;-275,000000;89,000000;22,000000;-106,274864;0,000014;0,169143;2,000000 
13,000000;-2,810000;87,200890;87,204285;32,000000;-275,000000;89,000000;22,000000;-108,181068;0,000014;0,169143;2,000000 
13,500000;-2,810000;86,264542;86,269066;32,000000;-275,000000;89,000000;22,000000;-108,181068;0,000014;0,169143;2,000000 
14,000000;-1,870000;86,264542;86,266556;31,000000;-275,000000;89,000000;22,000000;0,000000;0,000014;0,169143;2,000000 
14,500000;-3,740000;86,264542;86,272560;31,000000;-275,000000;89,000000;22,000000;0,000000;0,000014;0,169143;2,000000 
15,000000;-2,810000;86,264542;86,269066;31,000000;-275,000000;89,000000;22,000000;0,000000;0,000014;0,169143;2,000000 
15,500000;-2,760000;86,324898;86,329201;31,000000;-275,000000;89,000000;22,000000;0,000000;0,000014;0,169143;2,000000 
16,000000;-2,810000;87,200890;87,204285;31,000000;-275,000000;89,000000;22,000000;-108,181068;0,000014;0,126857;2,000000 
16,500000;-2,810000;87,200890;87,204285;31,000000;-275,000000;89,000000;22,000000;0,000000;0,000014;0,190286;2,000000 
17,000000;-2,810000;86,264542;86,269066;31,000000;-275,000000;89,000000;22,000000;0,000000;0,000014;0,211429;2,000000 
17,500000;-2,760000;86,324898;86,329201;31,000000;-275,000000;89,000000;22,000000;-106,274864;0,000014;0,190286;2,000000 
18,000000;-2,810000;86,264542;86,269066;31,000000;-275,000000;89,000000;22,000000;-106,274864;0,000014;0,169143;2,000000 
18,500000;-2,760000;86,324898;86,329201;31,000000;-275,000000;89,000000;22,000000;-108,181068;0,000014;0,169143;2,000000 
19,000000;-2,810000;86,264542;86,269066;32,000000;-275,000000;89,000000;22,000000;0,000000;0,000014;0,169143;2,000000 
19,500000;-2,760000;86,324898;86,329201;32,000000;-275,000000;89,000000;22,000000;0,000000;0,000014;0,126857;2,000000 
20,000000;-2,810000;86,264542;86,269066;32,000000;688,000000;89,000000;22,000000;0,000000;0,000014;0,169143;2,000000 
20,500000;-2,810000;87,200890;87,204285;32,000000;-275,000000;89,000000;22,000000;-106,274864;0,000014;0,169143;2,000000 
21,000000;-2,810000;87,200890;87,204285;33,000000;-275,000000;89,000000;22,000000;-104,534637;0,000014;0,169143;2,000000 
21,500000;-2,760000;86,324898;86,329201;33,000000;-275,000000;89,000000;22,000000;0,000000;0,000014;0,190286;2,000000 
22,000000;-2,810000;86,264542;86,269066;33,000000;-275,000000;89,000000;22,000000;0,000000;0,000014;0,169143;2,000000 
22,500000;-2,810000;86,264542;86,269066;34,000000;-275,000000;90,000000;22,000000;-106,274864;0,000014;0,169143;2,000000 
23,000000;-2,810000;86,264542;86,269066;34,000000;-275,000000;90,000000;22,000000;0,000000;0,000014;0,169143;2,000000 
23,500000;-3,740000;86,264542;86,272560;34,000000;688,000000;90,000000;22,000000;0,000000;0,000014;0,169143;2,000000 
24,000000;-2,760000;87,246246;87,249474;35,000000;-275,000000;90,000000;22,000000;-106,274864;0,000014;0,169143;2,000000 
24,500000;-2,810000;87,200890;87,204285;35,000000;-275,000000;90,000000;22,000000;0,000000;0,000014;0,190286;2,000000 
25,000000;-2,810000;86,264542;86,269066;35,000000;-275,000000;90,000000;22,000000;0,000000;0,000014;0,169143;2,000000 
25,500000;-2,810000;87,200890;87,204285;36,000000;-275,000000;90,000000;22,000000;0,000000;0,000014;0,190286;2,000000 
26,000000;-2,810000;86,264542;86,269066;38,000000;688,000000;90,000000;22,000000;-106,274864;0,000014;0,190286;2,000000 
26,500000;-2,810000;86,264542;86,269066;38,000000;-275,000000;90,000000;22,000000;-108,181068;0,000014;0,190286;2,000000 
27,000000;-2,810000;86,264542;86,269066;38,000000;-275,000000;90,000000;22,000000;0,000000;0,000014;0,169143;2,000000 
27,500000;-2,810000;86,264542;86,269066;39,000000;-275,000000;89,000000;22,000000;-108,181068;0,000014;0,190286;2,000000 
28,000000;-2,760000;86,324898;86,329201;40,000000;-275,000000;90,000000;22,000000;-106,274864;0,000014;0,169143;3,000000 
28,500000;-2,810000;86,264542;86,269066;34,000000;-275,000000;90,000000;22,000000;0,000000;0,000014;0,169143;4,000000 
29,000000;-2,760000;86,324898;86,329201;34,000000;-275,000000;90,000000;22,000000;0,000000;0,000014;0,169143;4,000000 
29,500000;-2,760000;86,324898;86,329201;33,000000;688,000000;90,000000;22,000000;-106,274864;0,000014;0,169143;4,000000 
30,000000;-2,760000;86,324898;86,329201;33,000000;-275,000000;90,000000;22,000000;0,000000;0,000014;0,169143;4,000000 
30,500000;-2,810000;86,264542;86,269066;32,000000;-275,000000;90,000000;22,000000;-106,274864;0,000014;0,190286;4,000000 
31,000000;-3,740000;87,200890;87,206917;32,000000;-275,000000;90,000000;22,000000;0,000000;0,000014;0,169143;4,000000 
31,500000;-2,810000;86,264542;86,269066;32,000000;-275,000000;90,000000;22,000000;0,000000;0,000014;0,169143;4,000000 
32,000000;-2,810000;86,264542;86,269066;32,000000;-275,000000;90,000000;22,000000;-106,274864;0,000014;0,190286;4,000000 
